дата,версия,метод,что сделал,где код,local mean,LB
22.05,baseline,orgs,ValueNet + A* с random-walk depth labels,baseline/,0.33,-
22.05,v1,GF(2) для toggle,детект TOGGLE-only и решение системы через гаусс над GF(2),solution/gf2_solver.py,+0.72 на toggle,-
22.05,v1,bidir BFS,двунаправленный поиск start-goal фолбэк,solution/bidir_bfs.py,+0.7 short scrambles,-
22.05,v2,Manhattan heuristic,L1 по позициям из encode_state с масштабом осей,solution/heuristics.py,admissible для SWAP,-
22.05,v2,goal-distance table,BFS от цели в train.py собирает шар состояний,solution/goal_table.py,cylinder 0.14 -> 1.18 (1.5s/inst),-
22.05,v2,fast state_key,numpy.tobytes вместо json.dumps,solution/common.py,~30% быстрее BFS,-
23.05,v3,dict goal_table 4M,первый realistic сабмит,solution/,1.65,68.5
23.05,v3,-,LB 68.5 с ML на 2 тестах,-,,ML на 2 тестах = dict grew too big
24.05,v4,multiprocessing.Pool fork,попытка ускорить solve через mp.Pool с fork initializer,solution/solve.py,1.68 local,0
24.05,v4,-,LB 0 - Crash на всех 13 тестах,-,,fork-related crash в контестном Docker
24.05,v5,rollback + defensive,убрал mp.Pool оставил safety try/except,solution/,1.65,-
24.05,v6,subprocess parallel,мигрировал на subprocess.Popen через worker.py,solution/solve.py+worker.py,1.66,77.6
24.05,v7,beam_w=256 везде,бамп beam_w без адаптации по ветвлению,solution/solve.py,1.66,74.9
24.05,v7,-,LB регресс 2.7 - широкий beam хуже на скрытых high-branching задачах,-,,
25.05,v8,compact mmap 15M,переход с dict pickle на 4 numpy arrays с blake2b hashing,solution/compact_table.py,1.69,63.2
25.05,v8,-,LB 63.2 TL на 2 тестах - train не успел упаковать 15M dict,-,,15M dict -> _pack 60s + save 30s > SAFETY_MARGIN 20s
25.05,v10,NN на random walks + max(M NN),simple MLP обучен на random walks с depth labels max blend с Manhattan,solution/nn_heuristic.py,1.65,74.7
25.05,v11,CayleyPy clean,NN тренируется на (state exact_depth) парах из BFS beam использует только NN scoring,solution/,1.66,не сабмитили
25.05,v11 crash,-,попытка сабмита свежих файлов - опять crash,-,,вероятно был неправильный zip уплоаднут
25.05,v12,compact + checkpoint,убрал NN оставил compact mmap 8M + periodic checkpoint каждые 240с,solution/train.py,1.65,78.0
25.05,v12,-,LB 78.0 - первое превышение v6 (77.6),-,,checkpoint защищает от TL
26.05,v12_plus,cap 8M -> 12M RSS 14G -> 18G checkpoint 180s,бамп безопасного cap,solution/train.py,1.66,78.9
26.05,v12_plus,-,LB 78.9 - текущий максимум,-,,
,ключевые выводы,-,-,-,,
,-,GF(2) для toggle-only даёт максимум сразу,-,-,,
,-,compact mmap + subprocess = стабильная база 78+,-,-,,
,-,checkpoint критичен - без него большие таблицы = TL,-,-,,
,-,NN нужно тщательно тестить локально на variety hidden-like envs,-,-,,
,-,локальный mean плохо предсказывает LB - скрытые задачи другие,-,-,,
